Curve	Strain	Gram	Phylum	Genus	Treatment 	Run	Rep
X714.C.1	714	Positive	Actinobacteria	Micrococcus	Rpf-	1	1
X714.C.2	714	Positive	Actinobacteria	Micrococcus	Rpf-	1	2
X714.C.3	714	Positive	Actinobacteria	Micrococcus	Rpf-	1	3
X714.C.4	714	Positive	Actinobacteria	Micrococcus	Rpf-	1	4
X711.C.1	711	Negative	Proteobacteria	Janthinobacterium	Rpf-	1	1
X711.C.2	711	Negative	Proteobacteria	Janthinobacterium	Rpf-	1	2
X711.C.3	711	Negative	Proteobacteria	Janthinobacterium	Rpf-	1	3
X711.C.4	711	Negative	Proteobacteria	Janthinobacterium	Rpf-	1	4
X812.C.1	812	Positive	Firmicutes	Bacillus	Rpf-	1	1
X812.C.2	812	Positive	Firmicutes	Bacillus	Rpf-	1	2
X812.C.3	812	Positive	Firmicutes	Bacillus	Rpf-	1	3
X812.C.4	812	Positive	Firmicutes	Bacillus	Rpf-	1	4
X714.R.2	714	Positive	Actinobacteria	Micrococcus	Rpf+	1	2
X714.R.3	714	Positive	Actinobacteria	Micrococcus	Rpf+	1	3
X714.R.4	714	Positive	Actinobacteria	Micrococcus	Rpf+	1	4
X711.R.1	711	Negative	Proteobacteria	Janthinobacterium	Rpf+	1	1
X711.R.2	711	Negative	Proteobacteria	Janthinobacterium	Rpf+	1	2
X711.R.3	711	Negative	Proteobacteria	Janthinobacterium	Rpf+	1	3
X711.R.4	711	Negative	Proteobacteria	Janthinobacterium	Rpf+	1	4
X812.R.1	812	Positive	Firmicutes	Bacillus	Rpf+	1	1
X812.R.2	812	Positive	Firmicutes	Bacillus	Rpf+	1	2
X812.R.3	812	Positive	Firmicutes	Bacillus	Rpf+	1	3
X812.R.4	812	Positive	Firmicutes	Bacillus	Rpf+	1	4
X703.C.1	703	Positive	Actinobacteria	Arthrobacter2	Rpf-	2	1
X703.C.2	703	Positive	Actinobacteria	Arthrobacter2	Rpf-	2	2
X703.C.3	703	Positive	Actinobacteria	Arthrobacter2	Rpf-	2	3
X703.C.4	703	Positive	Actinobacteria	Arthrobacter2	Rpf-	2	4
X706.C.1	706	Positive	Actinobacteria	Mycobacterium	Rpf-	2	1
X706.C.2	706	Positive	Actinobacteria	Mycobacterium	Rpf-	2	2
X706.C.3	706	Positive	Actinobacteria	Mycobacterium	Rpf-	2	3
X706.C.4	706	Positive	Actinobacteria	Mycobacterium	Rpf-	2	4
X715.C.1	715	Positive	Actinobacteria	Curtobacterium	Rpf-	2	1
X715.C.2	715	Positive	Actinobacteria	Curtobacterium	Rpf-	2	2
X715.C.3	715	Positive	Actinobacteria	Curtobacterium	Rpf-	2	3
X715.C.4	715	Positive	Actinobacteria	Curtobacterium	Rpf-	2	4
X703.R.1	703	Positive	Actinobacteria	Arthrobacter2	Rpf+	2	1
X703.R.2	703	Positive	Actinobacteria	Arthrobacter2	Rpf+	2	2
X703.R.3	703	Positive	Actinobacteria	Arthrobacter2	Rpf+	2	3
X703.R.4	703	Positive	Actinobacteria	Arthrobacter2	Rpf+	2	4
X706.R.1	706	Positive	Actinobacteria	Mycobacterium	Rpf+	2	1
X706.R.2	706	Positive	Actinobacteria	Mycobacterium	Rpf+	2	2
X706.R.3	706	Positive	Actinobacteria	Mycobacterium	Rpf+	2	3
X706.R.4	706	Positive	Actinobacteria	Mycobacterium	Rpf+	2	4
X715.R.1	715	Positive	Actinobacteria	Curtobacterium	Rpf+	2	1
X715.R.2	715	Positive	Actinobacteria	Curtobacterium	Rpf+	2	2
X715.R.3	715	Positive	Actinobacteria	Curtobacterium	Rpf+	2	3
X715.R.4	715	Positive	Actinobacteria	Curtobacterium	Rpf+	2	4
X701.C.1	701	Negative	Bacteriodetes	Pedobacter	Rpf-	3	1
X701.C.2	701	Negative	Bacteriodetes	Pedobacter	Rpf-	3	2
X701.C.3	701	Negative	Bacteriodetes	Pedobacter	Rpf-	3	3
X701.C.4	701	Negative	Bacteriodetes	Pedobacter	Rpf-	3	4
X710.C.1	710	Negative	Proteobacteria	Pseudomonas	Rpf-	3	1
X710.C.2	710	Negative	Proteobacteria	Pseudomonas	Rpf-	3	2
X710.C.3	710	Negative	Proteobacteria	Pseudomonas	Rpf-	3	3
X710.C.4	710	Negative	Proteobacteria	Pseudomonas	Rpf-	3	4
X701.R.1	701	Negative	Bacteriodetes	Pedobacter	Rpf+	3	1
X701.R.2	701	Negative	Bacteriodetes	Pedobacter	Rpf+	3	2
X701.R.3	701	Negative	Bacteriodetes	Pedobacter	Rpf+	3	3
X701.R.4	701	Negative	Bacteriodetes	Pedobacter	Rpf+	3	4
X710.R.1	710	Negative	Proteobacteria	Pseudomonas	Rpf+	3	1
X710.R.2	710	Negative	Proteobacteria	Pseudomonas	Rpf+	3	2
X710.R.3	710	Negative	Proteobacteria	Pseudomonas	Rpf+	3	3
X710.R.4	710	Negative	Proteobacteria	Pseudomonas	Rpf+	3	4
